微创,9k-11k,经验1-3年 / 本科,"“稳外企环境,六险一金,带薪年病假,可长期发展”",微软TTS项目-C++开发工程师,上海·新华路
数美,20k-40k,经验1-3年 / 本科,"“大牛如云,技术氛围,大佬领投,股份期权”",linux C／C++研发工程师,上海·新华路
爱奇艺,17k-25k,经验3-5年 / 本科,“职业发展平台”,C++多媒体开发工程师,上海·新华路
瞬联软件科技（北京）有限公司,15k-20k,经验不限 / 本科,“五险一金、弹性工作制、带薪年假、内部培训”,C++开发,上海·新华路
科大讯飞,10k-20k,经验1-3年 / 本科,“五险一金、免费班车、员工旅游、餐补”,C++开发工程师,上海·新华路
武汉佰钧成技术有限公司,10k-20k,经验1-3年 / 本科,"“双休不加班,带薪年假,节假日福利,六险一金”",C++软件工程师,上海·长宁区
好未来,20k-35k,经验3-5年 / 本科,“扁平管理 弹性工作 免费假期”,C++高级开发工程师,上海·长宁区
游族网络,10k-20k,经验1-3年 / 本科,“项目好”,（高级）C++开发工程师,上海·长宁区
钱方好近,25k-35k,经验3-5年 / 大专,“各种福利，年终奖，绩效奖金，团队氛围好”,c++开发工程师,上海·长宁区
慧聪网,15k-20k,经验1-3年 / 本科,“互联网”,C++工程师,上海·长宁区
谛听,8k-16k,经验3-5年 / 本科,"“上市公司,期权分红,员工股票,全新平台”",C++研发工程师,上海·长宁区
千行集团,10k-15k,经验3-5年 / 本科,"“五险一金,周末双休,带薪年假,餐补话补”",c++开发工程师,上海·长宁区
闲徕互娱,15k-30k,经验3-5年 / 本科,"“大牛云集,绩效奖金,健身零食”",C++,上海·长宁区
妙计旅行,10k-20k,经验1-3年 / 本科,"“自助三餐,超牛导师,工作环境好”",C++开发工程师,上海·长宁区
百川通联,10k-15k,经验1-3年 / 本科,“五险一金+年终奖+公司期权”,C++,上海·长宁区
网思科平,25k-30k,经验5-10年 / 本科,"“五险一金,带薪年假,节日礼金,餐补”",高级 linux C/C++ 研发工程师,上海·长宁区
深网视界,18k-30k,经验5-10年 / 本科,"“高级开发,资深C++,Linux,GPU”",C++高级开发工程师,上海·长宁区
七鼎娱乐,15k-30k,经验3-5年 / 本科,"“双休,项目奖金”",C++软件开发工程师,上海·长宁区
X-MEN,10k-20k,经验3-5年 / 本科,"“五险一金,年终奖,活动多,平台大”",C++高级开发工程师,上海·长宁区
Udesk－企业级智能客服平台,20k-35k,经验5-10年 / 本科,"“技术牛,晋升机会多,扁平管理,常规福利”",高级C++工程师,上海·长宁区
掌阅,15k-25k,经验3-5年 / 本科,"“管理扁平化,薪资福利佳,地铁沿线”",PHP研发工程师,北京·四惠
